id,iupac_key,iupac,cas,name,acentric_factor,formula,molecular_weight,critical_pressure,critical_pressure_unit,critical_temperature,critical_temperature_unit,antoine_a,antoine_b,antoine_c
27,GDOPTJXRTPNYNR-UHFFFAOYSA-N,1S/C6H12/c1-6-4-2-3-5-6/h6H;2-5H2;1H3,96-37-7,methylcyclopentane,0.2302,C6H12,84.161,548.9,psi,499.35,farenheit,3.98773,1186.059,-47.108
28,XDTMQSROBMDMFD-UHFFFAOYSA-N,1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,110-82-7,cyclohexane,0.2118,C6H12,84.161,590.8,psi,436.6,farenheit,4.13983,1316.554,-35.581
29,UAEPNZWRGJTJPN-UHFFFAOYSA-N,1S/C7H14/c1-7-5-3-2-4-6-7/h7H;2-6H2;1H3,108-87-2,methylcyclohexane,0.235,C7H14,98.188,503.5,psi,570.27,farenheit,,,
30,VGGSQFUCUMXWEO-UHFFFAOYSA-N,1S/C2H4/c1-2/h1-2H2,74-85-1,ethylene,0.0852,C4H4,28.054,731,psi,48.54,farenheit,,,
31,QQONPFPTGQHPMA-UHFFFAOYSA-N,1S/C3H6/c1-3-2/h3H;1H2;2H3,115-07-1,propylene,0.1424,C3H6,42.081,668.6,psi,197.17,farenheit,3.97488,795.819,-24.884
32,IAQRGUVFOMOMEM-ARJAWSKDSA-N,1S/C4H8/c1-3-4-2/h3-4H;1-2H3/b4-3-,590-18-1,cis-2-butene,0.1867,C4H8,56.108,612.1,psi,324.37,farenheit,3.98744,957.06,-36.504
33,IAQRGUVFOMOMEM-ONEGZZNKSA-N,1S/C4H8/c1-3-4-2/h3-4H;1-2H3/b4-3+,624-64-6,trans-2-butene,0.2182,C4H8,56.108,587.4,psi,311.86,farenheit,4.0436,982.166,-30.775
34,VQTUBCCKSQIDNK-UHFFFAOYSA-N,1S/C4H8/c1-4(2)3/h1H2;2-3H3,115-11-7,isobutene,,C4H8,56.108,580.2,psi,292.55,farenheit,3.64709,799.055,-46.615
35,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1S/C5H10/c1-3-5-4-2/h3H;1;4-5H2;2H3,109-67-1,1-pentene,0.2329,C5H10,70.134,511.8,psi,376.93,farenheit,3.91058,1014.294,-43.367
36,QNRMTGGDHLBXQZ-UHFFFAOYSA-N,1S/C4H6/c1-3-4-2/h4H;1H2;2H3,590-19-2,1-2-butadiene,0.2509,C4H6,54.092,653,psi,340,farenheit,3.78159,941.601,-42.565
37,KAKZBPTYRLMSJV-UHFFFAOYSA-N,1S/C4H6/c1-3-4-2/h3-4H;1-2H2,106-99-0,1-3-butadiene,0.1932,C4H6,54.092,627.5,psi,305,farenheit,3.99798,941.662,-32.753
